Tag,Content
BadEnd1Free,"Once she is free, Erica pounces on you."
BadEnd1Dressed,"Once she has dressed, Erica pounces on you."
BadEnd2,"COMMON_PLAYERNAME  ""But I just let you go."""
BadEnd3,"Erica  ""We all make mistakes. I'm taking no chances now."""
BadEnd4,"She mercilessly strips naked, binds, gags and hobbles you."
BadEnd5,"Erica  ""Have you ever worn a hood before?"""
BadEnd6,A leather hood is laced tight over your head.
BadEnd7,Tugging on your collar forces you to hobble forwards.
BadEnd8,You soon feel a breeze and a lot colder.
BadEnd9,"Erica  ""Don't worry, we are just going into town."""
BadEnd10,"Erica  ""To really sell you."""
BadEnd11,"This is just a practical joke, isn't it???    Bad End."
