Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,"Yeah, what's|it too you?","Nothing, we just seem to have a lot of new faces today.",10,0,1,
0,0,0,,Yep. A new start|and new possibilities.,"Great, I'm sure you will find new possibilities her.",10,1,0,
0,0,0,,Yes. This is all|new to me.,We will have to make sure you get a|propper introduction to Kinbaku then.,10,0,-1,
10,0,0,,"I'm COMMON_PLAYERNAME,|pleased to meet you miss...","I'm Amelia, this is Charlotte and the twins|Heather and Lucy who are already bound and gagged.",100,1,-1,Introduced()
10,0,0,,Call me COMMON_PLAYERNAME.,You can call me Amelia. This is Charlotte and the twins|Heather and Lucy who are already bound and gagged.,100,0,0,Introduced()
10,0,0,,The name's COMMON_PLAYERNAME.|Be sure to remember it.,"OK. I'm Amelia, this is Charlotte and the twins|Heather and Lucy who are already bound and gagged.",100,0,1,Introduced()
50,0,0,,Can you help me please.,"Certainly, I can check those ropes are secure.|(Amelia makes sure your bondage is very tight.)",50,,,
50,0,0,,Don't you know what a girl|in bondage looks like?,"I do, but its not everyday a cute girl in|bondage just presents herself to you. ",50,,,
50,0,0,,(Point at your bondage.),Yes it suits you well.,50,,,
50,0,0,PlayerOnlyGagged,(Remove your gag.),"(Amelia garbs you and starts tying you up.)|If your gagged, you shouldn't be able to remove it.",50,,,PlayerTied()
100,0,0,,(Talk to Amelia.),(What do you want to talk to Amelia about?),200,0,0,LoadAmelia()
100,0,0,,(Talk to Charlotte.),(What do you want to talk to Charlotte about?),300,0,0,LoadCharlotte()
100,0,0,TwoTiedTwins,(Go to the furthest twin.),"She looks up at you, gesturing for you to release her.",400,0,0,LoadLeftTwin()
100,0,0,TwoTiedTwins,(Go to the nearest twin.),"She looks up at you, gesturing for you to release her.",450,0,0,LoadRightTwin()
100,0,0,RemainingTwin,(Go to the remaining twin.),"She looks up at you, gesturing for you to release her.",400,0,0,LoadRemainingTwin()
100,0,0,LucyTied,(Go to Lucy.),"She looks up at you, gesturing for you to release her.",430,0,0,LoadLucy()
100,0,0,LucyFree,(Talk to Lucy.),"Hey there, do you want to be tied up again?",600,0,0,LoadLucy()
110,0,0,,"Alright, let me go now.","Fine, just don't get too greedy.|(She lets go of your arm.)",100,0,0,CanLeave()
110,0,0,,"Yes miss, I won't|try that again.","Good, it doesn't pay to get too greedy.|(She lets go of your arm.)",100,0,-1,CanLeave()
110,0,0,,Try stopping me.,(You shake off Amelia's grasp.)|I will if you carry on like that.,100,-1,0,TryStopMe()
120,0,0,,Let go of me.,"No, you need a time out.|(She forces you across the room.)",125,-1,0,
120,0,0,,I'm really sorry.|I won't try it again.,I will make sure of that this time.|(She forces you across the room.),125,0,-1,
120,1,2,,(Break free from|her grasp.),Fine just don't try that again here.,100,-1,0,
125,0,0,,Please let me go.,- This text should not display -,125,0,-1,PlayerLockedAway()
125,0,0,,"Okay, just don't|hurt me.",- This text should not display -,125,1,0,PlayerLockedAway()
125,0,0,,Get your hand off me.,- This text should not display -,125,-1,0,PlayerLockedAway()
200,0,0,Amelia210NotDone,Do you know a|lot about Kinbaku?,I know enough to keep anyone helplessly tied up.,210,0,0,Amelia210Done()
200,0,0,Amelia220NotDone,Have you tied|Charlotte up yet?,She was a nervious wreck when I tried earlier and only|calmed down after I made her help tie up the twins.,220,0,0,Amelia220Done()
200,0,0,Amelia230NotDone,"So which do you prefer,|boxtie or elbows touching?",Both have thier advantages.|I prefer how elbows toching really shows off a sub.,230,0,0,Amelia230Done()
200,0,0,,We should try|some Kinbaku now.,Yes we should and now I will tie you up.,260,0,0,
200,0,0,Amelia250NotDone,"Heather and Lucy,|which twin is which?","We're not sure, which is why we tried out different|Kinbaku patterns on both of them and gagged them.",250,0,0,Amelia250Done()
200,0,0,AnyoneKnow,Can anyone here|tell the twins apart?,"Jenna seems to know, but she isn't here to ask.",200,0,0,
200,0,0,UngagTwins,Do the twins need|to be gagged?,Yes. We don't need to listen to Heathers forked tongue.,200,,,
200,0,0,InspectedTwins,Why are they tied|so uncomfortably?,To get Heather to admit which one she in exchange|for a much more comfortable bondage.,255,,,
200,0,0,,(Go back to the|rest of the grounp.),(Amelia is telling Charlotte about Kinbaku.),100,0,0,
210,0,0,,Even me?,Even you.,200,0,0,
210,0,0,,So you tie yourself up|helplessly as well?,That's not what I meant.,200,0,1,
210,0,0,HasRopeMastery,"You talk big, but|I'm a master with ropes.","Thats good,|but is that just tying or escaping as well?",215,1,0,
210,0,0,,Would you tie me up?,"When you're ready, just ask|and I'll make you totally at my mercy.",200,0,-1,
215,0,0,,I've not actually|managed to escape yet.,So you have mastered being submissive.,200,0,-1,
215,0,0,EscapedIsolationMildred,Mildred left me tied|up and I escaped that.,"Impressive, you must have pissed her off to do that|and she doesn't mess then.",200,1,1,
215,0,0,EscapedIsolationYuki,Yuki left me tied up|and I escaped that.,"Impressive, but I wouldn't expect Yuki to just|tie someone up and then leave them.",216,1,0,
215,0,0,,No ropes can hold me.,Thats a bold claim.|Turn around and we'll see about that.,218,0,0,
216,0,0,,I drugged her so she just|tied me up in a basement.,"If you do things like that, maybe we ought|to keep you permenantly restrained.",200,-1,0,
216,0,0,IsolationYukiOrgasm,"She forced me to give|her oral, then gagged me.",Haha that's some serious motivation to escape|or did you want to savour that gag instead?,217,0,0,
216,0,0,IsolationYukiOrgasm,She wanted some control|while I made her cum.,"Wow, fair play.",200,1,1,
217,0,0,,I couldn't get that|gag out fast enough.,I'm not surprised.,200,0,0,
217,0,0,,I though about keeping|the gag in after escaping.,You must be a very obediant teachers pet to|love your mistresses taste that much.,200,0,-2,
218,0,0,,Actually I'm not|quite ready yet.,"Most chickens have beaks, not big mouths.",200,-1,-1,
218,0,0,,"Go on then, try your best.|(Turn around for her.)","(Amelia helps remove your uniform, pulls your wrists|behind you and starts tying you up.)",500,1,1,AmeliaTies()
220,0,0,,Who cares if|she is a wreck.,That's a nasty attitude and|it should be fun for both all involved.,200,-1,0,
220,0,0,,What is she doing|here then?,She said she came with a friend and|won't give me a striaght answer.,225,0,0,
220,0,0,,Does she only want|to dom others then?,"I'm not sure, she took a lot of persuading to help me|tie up the twins, but then seemed to enjoy it.",225,0,0,
225,0,0,,Maybe I can talk her|into some ropes.,Sure you can try.,200,1,0,
225,0,0,,Perhaps she would|enjoy practicing on me.,I'm sure she would if you could only get her to start.,200,0,-1,
230,0,0,,The box tie exposes the|bottom better though.,I suppose if that's your kink.  It does also|makes sure mischievous hands are kept apart.,231,,,
230,0,0,,Elbows touching really|pushes out the breasts.,You could put it like that.,233,,,
231,0,0,,"Hey Charlotte,|which do you prefer.",Well I don't have an opinion on that.,232,0,0,Charlotte()
231,0,0,,Not apart enough to stop|me pulling a crotch rope.,You must really love being tied up.,200,1,-1,
231,0,0,,And it's nicer on the|sub if its long term.,"Sure, but sometimes, like with the twns here,|the discomfort is essential.",200,0,0,
232,0,0,,You should try both|and then decide.,No really I don't need an opinion on that.|(You turn back to Amelia.),200,-1,1,Amelia()
232,0,0,,Which method would|you use on me.,If Amelia ties you up then she can decide.|(You turn back to Amelia.),200,0,-1,Amelia()
233,0,0,,You did a good elbow tie|on one of the twins.,"Yeah with elbows touching and hands tied forwards,|her breasts are about the only things she can touch.",234,1,0,
233,0,0,,Some girl's need the|help with their cleevage.,"Maybe, some of us are naturally|more gifted than others.",234,,,
234,0,0,,I'm not sure mine|need the assistance.,"Every little helps,|but you look fine as you are.",200,0,0,
234,0,0,,Your breasts would look|massive if I tied you up.,That isn't going to happen.,200,-1,1,
234,0,0,HasArmbinder,I have an armbinder that|pins the elbows together.,"Cool, have you tried it on yourself?",235,0,0,
235,0,0,,"I tried, but it's no|good for self bondage.",I will help strap you into it.,236,1,-1,
235,0,0,,No it's only for|my favorite subies.,Some of the girls in this club would love|to be your favorite pet for that.,200,0,0,
235,0,0,,"No, but you should try it.","Forget it, try that on me and they can|use it on you as an arm splint.",200,-1,0,
236,0,0,,I'm not sure I want|to just yet,"Nonsense, come on you will look|beautifully submissive with it on.",236,0,-1,
236,0,0,,"No, another time.","Okay, your loss.",200,0,0,
236,0,0,,"Would you, thanks.|I was struggling with it.","(Amelia helps you into armbinder, doing up the laces|and straps till your elbows are forced together.)",500,1,-1,PlayerArmbinded()
250,0,0,,Do they both|need restraining?,Lucy is sweet enough when she isn't trying to steal|boyfriends and she knows a lot of Kinbaku techniques.,251,,,
250,0,0,,Do you need to restrain|me like that too?,"Maybe, but we didn't need to restrain Lucy, she could|demonstarte some impressive Kinbaku on you.",251,0,-1,
251,0,0,,And Hether?,She is the evil left twin and impersonates her sister.|They both claim to be Lucy.,252,0,0,
251,0,0,,I already know enough|to restrin anybody.,Lucy could teach you that kinbaku is more than just|restraint.  Heather though would teach you about pain.,252,0,1,
252,0,0,,If we work out which one is|Lucy we should untie her. ,"Yes, she would teach you a thing or two,|but how could you tell which one she is?",200,0,0,
252,0,0,,Best keep them|both tightly bound.,Probably. If we knew which one was lucy then|she could show us some new techniques.,200,0,1,
255,0,0,,"Cool, lets make their|bondage even tighter.",Its already plenty tight enough.|Any tighter would cut of their blood circulation.,200,,,
255,0,0,,Are those bindings|painful enough?,Let me tie you up and you can find out for yourself.,260,0,0,
255,0,0,,"Wow, I doubt I could hold|out long tied like that.","A delicate girl like yourself would talk fast, but|you would still hold the pose for as long as I want.",200,,,
255,0,0,,Is Heather likely|to agree to that?,"It's got to be better than this, but I think she is|hoping Lucy will break first and claim to be Heather.",200,,,
260,0,0,,Yes Miss Amelia.,"(Amelia helps remove your uniform, pulls your wrists|behind you and starts tying you up.)",500,1,-1,AmeliaTies()
260,0,3,,Okay lets see how|skilled you are.,(Amelia quickly secures your|arms with a tight box tie.),500,0,0,AmeliaTiesDom()
260,0,0,,You're not tying me up.,"Fine not now,|but when you ready just call me Miss Amelia.",200,0,0,NotTieMe()
260,0,0,,We could tie up|Charlotte instead.,I don't think she is ready for that yet.|You look far more keen.,200,0,0,TieCharlotte()
300,0,0,Charlotte310NotDone,So you tied these|girls up super tight?,"No, it's not like that. Amelia tied them|up and told me to help her.",310,0,0,Charlotte310Done()
300,0,0,Charlotte320NotDone,Are you a regular here?,"No no. I'm not a member of this club,|it's just a friend asked me to meet her here.",320,0,0,Charlotte320Done()
300,0,0,Charlotte330NotDone,I bet you prefer|to be tied up.,"I'm really not into bondage, honest.|I'm just waiting here for a friend.",330,0,0,Charlotte330Done()
300,0,0,Charlotte340NotDone,You should be tied up now.,What do you mean? I really wouldn't like that.,340,-1,1,Charlotte340Done()
300,0,0,Charlotte350NotDone,What do you think|the twins need now.,"I dunno, untie them maybe.",350,0,0,Charlotte350Done()
300,0,0,Charlotte360NotDone,"You're clutching that bag|tight, what's in there?","Nothing much, just my homework.",360,0,0,Charlotte360Done()
300,0,0,,(Go back to the|rest of the grounp.),(Amelia is telling Charlotte about Kinbaku.),100,0,0,
