Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,AmandaVictim,What did I do?,You know what you did!  You left me|bound and gagged in the courtyard.,10,-1,0,
0,0,0,!AmandaVictim,What did I do?,You know what you did!  You left her|bound and gagged in the restaurant.,10,-1,0,
0,0,0,AmandaVictim,Admit it girl.|You enjoyed it.,No!  Other girls found me|and it was very humiliating.,20,-1,1,
0,0,0,!AmandaVictim,She enjoyed it.,"No way!  Another customer found her|naked and bound, she was humiliated.",20,-1,0,
0,0,0,AmandaVictim,I guess it|wasn't cool.,Wasn't cool?  Other girls found|me and it was very humiliating.,20,0,0,
0,0,0,!AmandaVictim,I guess it|wasn't cool.,"Wasn't cool?  Another customer found|her naked and bound, she was humiliated.",20,0,0,
0,0,0,,I'm sorry.,(Sarah steps in.)  Sorry isn't enough!|You need to pay for what you did!,30,1,-1,"SwitchFocus(""Sarah"")"
10,0,0,AmandaVictim,Admit it girl.|You enjoyed it.,No!  Other girls found me|and it was very humiliating.,20,-1,1,
10,0,0,!AmandaVictim,She enjoyed it.,"No way!  Another customer found her|naked and bound, she was humiliated.",20,-1,0,
10,0,0,AmandaVictim,I guess it|wasn't cool.,Wasn't cool?  Other girls found|me and it was very humiliating.,20,0,0,
10,0,0,!AmandaVictim,I guess it|wasn't cool.,"Wasn't cool?  Another customer found|her naked and bound, she was humiliated.",20,0,0,
10,0,0,,I'm sorry.,(Sarah steps in.)  Sorry isn't enough!|You need to pay for what you did!,30,1,-1,"SwitchFocus(""Sarah"")"
20,0,0,AmandaVictim,You deserved|it little slut.,(Sarah steps in.)  You're the slut!|And now you need to pay for that!,30,-1,1,"SwitchFocus(""Sarah"")"
20,0,0,!AmandaVictim,"She's a slut, she|deserved it.",(Sarah steps in.)  You're the slut!|And now you need to pay for that!,30,-1,1,"SwitchFocus(""Sarah"")"
20,0,0,,I don't regret it.,(Sarah steps in.)  Well you should!|And now you need to pay for that!,30,-1,0,"SwitchFocus(""Sarah"")"
20,0,0,,What's done is done.|I need to go now.,(Sarah steps in.)  Oh no you wont!|You need to pay for what you did!,30,0,0,"SwitchFocus(""Sarah"")"
20,0,0,,I'm sorry.,(Sarah steps in.)  Sorry isn't enough!|You need to pay for what you did!,30,1,-1,"SwitchFocus(""Sarah"")"
30,0,0,,I'll pay.  How much|do you want?,"How much?  We don't want|any money, we want revenge!",40,0,-1,
30,0,0,,Pay?  I'm not|giving you anything.,"We don't want anything|from you, we want revenge!",40,0,0,
