Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,,"Since your teacher could not make it, I will be|taking over.  You can address me as Miss Mildred.",MildredTeach.jpg
10,0,0,,,MildredTeach.jpg
20,0,0,,,MildredAngry.jpg
30,0,0,,,MildredTeach.jpg
31,0,0,,,MildredApproachFront.jpg
32,0,0,,,MildredCuffFront.jpg
35,0,0,,,MildredApproachBack.jpg
36,0,0,,,MildredCuffBack.jpg
40,0,0,,,MildredTeach.jpg
45,0,0,,,MildredApproachSidney.jpg
46,0,0,,,MildredCuffsSidney.jpg
47,0,0,,,SidneyCuffed.jpg
48,0,0,,,SidneyCuffed.jpg
50,0,0,,,MildredAngry.jpg
60,0,0,,,MildredTeach.jpg
70,0,0,,,MildredAngry.jpg
71,0,0,,,MildredAngry.jpg
72,0,0,,,MildredAngry.jpg
73,0,0,,,MildredAngry.jpg
74,0,0,,,MildredAngry.jpg
75,0,0,,,MildredAngry.jpg
100,0,0,,,MildredTeach.jpg
200,0,0,,,MildredAngry.jpg
210,0,0,,,MildredAngry.jpg
220,0,0,,,MildredTeach.jpg
300,0,0,,,WaitTest1.jpg
310,0,0,,,WaitTest2.jpg
320,0,0,,,WaitTest3.jpg
330,0,0,,,WaitTest4.jpg
340,0,0,,,WaitTest5.jpg
350,0,0,,,WaitTest6.jpg
360,0,0,,,WaitTest7.jpg
