Tag,Content
FindItem,You check the wooden counter and|find a box with an interesting item.
TrainRopeMasteryNoTime,You don't have enough time to|study the comic before your next class.
CannotMasturbate,You try to slide a finger inside|your belt but fail miserably.
Orgasm,"You stimulate yourself lovingly and|tremble with ecstasy, getting a silent orgasm."
OrgasmEnough,You play with yourself but|you're not horny anymore.
OrgasmRepeat,You touch yourself and the vibrating egg|kicks in to give you desires for another round.
ClimbFindItem,You climb on the structure like a|monkey and find an interesting item.
StruggleBackFromHolde,"Like an agile gymnast, you slowly|squeeze yourself out of the hole."
NoMoreSweetGwendoline,You search in the shelves|but your magazine is gone.
FindKey,You search the desk and find a metallic|key that you stash in your purse.
