Stage,LoveReq,SubReq,VarReq,IntroText,Image
10,0,0,,You find an empty corner in the library.|There's an old chair and books on chemistry.,10.jpg
15,0,0,,,10Sit.jpg
30,0,0,,"On the left side of the corridor, there's|a shelve full of books on mathematics.",30.jpg
31,0,0,,"On the right side of the corridor, there's|a shelve full of books on physics.",31.jpg
32,0,0,,This corridor is a dead end but there are a|few books left and a huge wooden counter.,32.jpg
33,0,0,,,33.jpg
34,0,0,,,34.jpg
35,0,0,,,35.jpg
36,0,0,,,36.jpg
37,0,0,,,37.jpg
40,0,0,,This corridor is a dead end but|there are lots of books on literature.,40.jpg
41,0,0,,"You found the book: ""The Count of Monte Cristo"".|You have to read up to chapter 5 for your next class.",41.jpg
42,0,0,,"You found the book: ""The Count of Monte Cristo"".|You have to read up to chapter 5 for your next class.",41.jpg
43,0,0,,"You found the book: ""The Count of Monte Cristo"".|You have to read up to chapter 5 for your next class.",41.jpg
44,0,0,,"You found the book: ""The Count of Monte Cristo"".|You have to read up to chapter 5 for your next class.",41.jpg
45,0,0,,"You found the book: ""The Count of Monte Cristo"".|You have to read up to chapter 5 for your next class.",41.jpg
46,0,0,,"You found the book: ""The Count of Monte Cristo"".|You've already read up to chapter 5, you're ready.",41.jpg
50,0,0,,"On the left side of the corridor, there's|a shelve full of books on philosophy.",50.jpg
60,0,0,,You find an empty corner in the library.|There's an old couch and books on history.,60.jpg
61,0,0,,There are lots of old books in|the shelves of this corridor.,61.jpg
65,0,0,,,60Sit.jpg
70,0,0,,There's a desk and a purse in|this section of the library.,70.jpg
71,0,0,,,71.jpg
75,0,0,,There's not much in this section|of the library but a framed rule.,75.jpg
80,0,0,,There's a closed wooden door leading|to another section of the library.,80.jpg
81,0,0,,,80.jpg
85,0,0,,The bookshelves are filled with books on psychology.|There's a small dark hole in one the shelves.,85.jpg
86,0,0,,,86.jpg
87,0,0,!Common_PlayerChaste,,87.jpg
87,0,0,Common_PlayerChaste,,87Chastity.jpg
88,0,0,!Common_PlayerChaste,,88.jpg
88,0,0,Common_PlayerChaste,,88Chastity.jpg
90,0,0,,The upper section is closed|and cannot be accessed.,90.jpg
100,0,0,,There are a few closed bookshelves|in this section of the library.,100.jpg
101,0,0,,,101.jpg
102,0,0,,,102.jpg
103,0,0,,,103.jpg
105,0,0,,There are wooden cabinets on|the bottom part of the shelves.,105.jpg
106,0,0,,There's a huge wooden table and a painting|of an old man in the back of this section.,106.jpg
